name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,166,CLASS_ID,4,,,2,int32
DB2Connector,166,CLASS_DESC,1,,,50,string[50]
DB2Connector,1201,GPO_VALUE_TYPE_CDE,4,,,3,int32
DB2Connector,1201,CMPR_FLG,4,,,1,int32
DB2Connector,1201,CCA_GROUP_NUM,4,,,8,int32
DB2Connector,1201,TPM_RANK3_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,TPM_RANK2_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,GNRL_RANK_NUM,4,,,4,int32
DB2Connector,1201,ACTIVE_FLG,4,,,1,int32
DB2Connector,1201,SELL_PRICE_ADJ_DLR,3,,2,9,"decimal[9,2]"
DB2Connector,1201,APM_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,END_DTE,1,,,10,string[10]
DB2Connector,1201,CLASS_OF_TRADE,4,,,2,int32
DB2Connector,1201,SELL_RANK_NUM,4,,,4,int32
DB2Connector,1201,TPM_EXCP_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,TPM_RANK1_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,COST_RANK_NUM,4,,,4,int32
DB2Connector,1201,MKT_GROUP_CDE,4,,,3,int32
DB2Connector,1201,MKUP_PCT,3,,5,6,"decimal[6,5]"
DB2Connector,1201,ABBR_TXT,1,,,10,string[10]
DB2Connector,1201,MKT_PROG_NAM,1,,,50,string[50]
DB2Connector,1201,TYPE_CDE,4,,,3,int32
DB2Connector,1201,MKT_PROG_CDE,4,,,8,int32
DB2Connector,1201,START_DTE,1,,,10,string[10]
DB2Connector,1201,SEND_TO_CCA_FLG,4,,,1,int32
DB2Connector,1201,MKUP_CDE,4,,,3,int32
DB2Connector,1201,MKT_PROG_PRFX_TXT,1,,,13,string[13]
ODBCConnector,5237,MATNR,4,NVARCHAR,,,int32
ODBCConnector,5237,UMREZ,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,12474,ITCROS,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITGLSL,1,,,24,string[24]
DB2Connector,12474,ITPQFR,3,,,2,"decimal[2,0]"
DB2Connector,12474,ITCVNB,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITSMPK,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITYNDC,1,,,15,string[15]
DB2Connector,12474,ITFLSN,3,,,3,"decimal[3,0]"
DB2Connector,12474,ITNWTT,1,,,1,string[1]
DB2Connector,12474,ITMNPQ,1,,,20,string[20]
DB2Connector,12474,ITPAMQ,3,,,3,"decimal[3,0]"
DB2Connector,12474,ITREST,1,,,9,string[9]
DB2Connector,12474,ITDLD,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITPWGT,3,,1,4,"decimal[4,1]"
DB2Connector,12474,ITGLCS,1,,,24,string[24]
DB2Connector,12474,ITPUOM,1,,,2,string[2]
DB2Connector,12474,ITSPCD,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITLADT,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITFSIN,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITFLNE,3,,,4,"decimal[4,0]"
DB2Connector,12474,ITMUOM,1,,,2,string[2]
DB2Connector,12474,ITPHGT,3,,3,6,"decimal[6,3]"
DB2Connector,12474,ITSIZE,1,,,5,string[5]
DB2Connector,12474,ITDESC,1,,,30,string[30]
DB2Connector,12474,ITPCST,3,,2,7,"decimal[7,2]"
DB2Connector,12474,ITABUS,1,,,1,string[1]
DB2Connector,12474,ITSPPM,1,,,1,string[1]
DB2Connector,12474,IBNIT,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITSTTX,1,,,1,string[1]
DB2Connector,12474,ITLRQE,1,,,1,string[1]
DB2Connector,12474,ITPUML,3,,,5,"decimal[5,0]"
DB2Connector,12474,ITSUOM,1,,,2,string[2]
DB2Connector,12474,ITSWGT,3,,1,4,"decimal[4,1]"
DB2Connector,12474,ITFORM,1,,,2,string[2]
DB2Connector,12474,ITGLIN,1,,,24,string[24]
DB2Connector,12474,ITMOQ,3,,,5,"decimal[5,0]"
DB2Connector,12474,ITPALW,3,,2,7,"decimal[7,2]"
DB2Connector,12474,ITCNVT,3,,,4,"decimal[4,0]"
DB2Connector,12474,ITVQD,1,,,1,string[1]
DB2Connector,12474,ITRPLC,3,,2,7,"decimal[7,2]"
DB2Connector,12474,ITMUPC,1,,,12,string[12]
DB2Connector,12474,ITMSTK,1,,,1,string[1]
DB2Connector,12474,ITQUAL,1,,,15,string[15]
DB2Connector,12474,ITPMPQ,3,,,7,"decimal[7,0]"
DB2Connector,12474,ITVQDE,1,,,1,string[1]
DB2Connector,12474,ITSTAT,1,,,1,string[1]
DB2Connector,12474,ITUDOS,1,,,1,string[1]
DB2Connector,12474,ITRPLP,3,,2,7,"decimal[7,2]"
DB2Connector,12474,ITLPIN,3,,4,5,"decimal[5,4]"
DB2Connector,12474,ITMNDS,1,,,1,string[1]
DB2Connector,12474,ITLPOD,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITINVT,1,,,1,string[1]
DB2Connector,12474,ITMNRC,1,,,2,string[2]
DB2Connector,12474,ITLCIP,3,,4,5,"decimal[5,4]"
DB2Connector,12474,ITPASD,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITPWTH,3,,3,6,"decimal[6,3]"
DB2Connector,12474,ITPRDT,3,,,8,"decimal[8,0]"
DB2Connector,12474,ITINVC,1,,,1,string[1]
DB2Connector,12474,ITMNDC,1,,,12,string[12]
DB2Connector,12474,ITSSIN,3,,,6,"decimal[6,0]"
DB2Connector,12474,ITSLGN,3,,3,6,"decimal[6,3]"
DB2Connector,12474,ITBALW,1,,,1,string[1]
DB2Connector,12474,ITAWP,1,,,35,string[35]
DB2Connector,12474,ITSRP,3,,2,7,"decimal[7,2]"
DB2Connector,12474,ITMMIC,1,,,1,string[1]
DB2Connector,12474,ITOV1,1,,,1,string[1]
DB2Connector,12474,IORBC,1,,,1,string[1]
DB2Connector,12474,ITSPCG,1,,,1,string[1]
DB2Connector,12474,ITSWTH,3,,3,6,"decimal[6,3]"
DB2Connector,12474,ITNHRC,1,,,12,string[12]
