name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,537,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,537,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,618,CUSTOMER_NUM,-9,VARCHAR,,50,nullable ustring[max=50]
DB2Connector,618,HRCHY_NODE_CDE,-9,VARCHAR,,10,ustring[max=10]
ODBCConnector,7755,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,7755,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_5_ID,12,,,10,nullable string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_NAM,12,,,50,string[max=50]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_4_ID,12,,,10,nullable string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_3_ID,12,,,10,nullable string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_2_NAM,12,,,50,nullable string[max=50]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_5_NAM,12,,,50,nullable string[max=50]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_3_NAM,12,,,50,nullable string[max=50]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_1_NAM,12,,,50,nullable string[max=50]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_2_ID,12,,,10,nullable string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_1_ID,12,,,10,nullable string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_ID,12,,,10,string[max=10]
DB2Connector,9360,SALE_HRCHY_NODE_LEVEL_4_NAM,12,,,50,nullable string[max=50]
DB2Connector,9416,HRCHY_NODE_TYPE_ID,12,,,5,string[max=5]
DB2Connector,9416,SALE_ITEM_GROUP_ID,12,,,5,string[max=5]
DB2Connector,9416,HRCHY_NODE_DESC,12,,,100,string[max=100]
DB2Connector,9416,SALE_TEAM_GROUP_ID,12,,,5,string[max=5]
DB2Connector,9416,GEO_LOCATION_TXT,12,,,100,string[max=100]
DB2Connector,9416,HRCHY_NODE_ID,12,,,10,string[max=10]
DB2Connector,9416,HRCHY_NODE_NAM,12,,,100,string[max=100]
DB2Connector,9416,SALES_FORCE_TYPE_ID,12,,,5,string[max=5]
DB2Connector,9416,BSNS_SGMNT_ID,12,,,5,string[max=5]
DB2Connector,9416,HOUSE_TRTRY_ID,12,,,5,string[max=5]
DB2Connector,9474,SALE_CMPNS_TITLE_CDE,4,,,10,int32
DB2Connector,9474,SALE_CMPNS_PSNTN_TYPE_CDE,4,,,10,int32
DB2Connector,9474,HRCHY_NODE_CDE,12,,,10,string[max=10]
DB2Connector,9474,PRIM_PSNTN_FLG,12,,,1,string[max=1]
DB2Connector,9474,EMP_ID,4,,,10,int32
DB2Connector,9474,PSNTN_NAM,12,,,50,string[max=50]
DB2Connector,9474,PSNTN_ID,12,,,5,string[max=5]
DB2Connector,9519,PSNTN_TYPE_CDE,4,,,10,int32
