name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,2829,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,2829,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,2867,EFFECT_DTE,9,,,10,date
DB2Connector,2867,ADVALL_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,PIC_DLR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,BGNBUY_DLR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,PRCCHG_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,NOCODE_QTY,3,,,8,"decimal[8,0]"
DB2Connector,2867,OTHMGN_VQY,3,,,8,"decimal[8,0]"
DB2Connector,2867,PRCCHG_DLR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,MERPER_VQY,3,,,8,"decimal[8,0]"
DB2Connector,2867,BGNBUY_QTY,3,,,8,"decimal[8,0]"
DB2Connector,2867,INSMGN_VQY,3,,,8,"decimal[8,0]"
DB2Connector,2867,FREE_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,OTHMGN_DLR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,STDMFG_DLR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,NEWINV_DLR,3,,2,9,"decimal[9,2]"
DB2Connector,2867,STDMFG_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,INVADJ_VQY,3,,,8,"decimal[8,0]"
DB2Connector,2867,PRCCHG_VQY,3,,,8,"decimal[8,0]"
DB2Connector,2867,ALTSRC_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,DIV_NUM,3,,,3,"decimal[3,0]"
DB2Connector,2867,BUYIN_VDR,3,,2,16,"decimal[16,2]"
DB2Connector,2867,ALTSRC_QTY,3,,,8,"decimal[8,0]"
DB2Connector,2867,OTHMGN_QTY,3,,,8,"decimal[8,0]"
DB2Connector,2867,FREE_DLR,3,,2,16,"decimal[16,2]"
