name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,1961,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,1961,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,2333,PFI38,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI46,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI09,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI29,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI34,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI47,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI22,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI08,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI26,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI23,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI15,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI14,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI17,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI16,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI11,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI10,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI35,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFDESC,1,,,30,string[30]
DB2Connector,2333,PFI51,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI50,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI39,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI52,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI19,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI18,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI49,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI27,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFDFID,3,,,19,"decimal[19,0]"
DB2Connector,2333,PFI33,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFNAME,1,,,10,string[10]
DB2Connector,2333,PFI32,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI06,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI31,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI30,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI37,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI41,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI36,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFTYPE,1,,,1,string[1]
DB2Connector,2333,PFI07,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI04,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI05,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI13,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI03,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI01,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI42,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI43,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI40,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI12,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI20,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI21,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI44,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI45,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI24,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFHSTP,3,,,3,"decimal[3,0]"
DB2Connector,2333,PFI28,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI25,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI02,3,,2,5,"decimal[5,2]"
DB2Connector,2333,PFI48,3,,2,5,"decimal[5,2]"
ODBCConnector,25353,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,25353,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,232949,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,232949,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,440295,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,440295,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,642832,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,642832,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,691847,ETL_JOB_NAME,12,,,80,nullable string[max=80]
