name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,73,VALUE,3,,,19,"decimal[19,0]"
ODBCConnector,73,SRC_FIELD_NAME,12,,,700,string[max=700]
ODBCConnector,73,AGNT_ID,12,,,6,string[max=6]
ODBCConnector,73,SYS_ASSET_ID,12,,,100,string[max=100]
ODBCConnector,73,EFFECT_DTE,11,,3,19,timestamp
ODBCConnector,1139,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,1139,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,1192,VALUE,3,,,19,"decimal[19,0]"
ODBCConnector,1192,SRC_FIELD_NAME,12,,,700,string[max=700]
ODBCConnector,1192,AGNT_ID,12,,,6,string[max=6]
ODBCConnector,1192,SYS_ASSET_ID,12,,,100,string[max=100]
ODBCConnector,1192,EFFECT_DTE,11,,3,19,timestamp
ODBCConnector,1297,METRIC_ID,12,,,32,string[max=32]
ODBCConnector,1297,METRIC_SRC_FIELD,12,,,64,string[max=64]
ODBCConnector,3601,VALUE,3,,,19,"decimal[19,0]"
ODBCConnector,3601,SRC_FIELD_NAME,12,,,700,string[max=700]
ODBCConnector,3601,AGNT_ID,12,,,6,string[max=6]
ODBCConnector,3601,SYS_ASSET_ID,12,,,100,string[max=100]
ODBCConnector,3601,EFFECT_DTE,11,,3,19,timestamp
ODBCConnector,4901,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,4901,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,4954,VALUE,3,,,19,"decimal[19,0]"
ODBCConnector,4954,SRC_FIELD_NAME,12,,,700,string[max=700]
ODBCConnector,4954,AGNT_ID,12,,,6,string[max=6]
ODBCConnector,4954,SYS_ASSET_ID,12,,,100,string[max=100]
ODBCConnector,4954,EFFECT_DTE,11,,3,19,timestamp
ODBCConnector,5059,METRIC_ID,12,,,32,string[max=32]
ODBCConnector,5059,METRIC_SRC_FIELD,12,,,64,string[max=64]
ODBCConnector,7618,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,7618,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,7651,VALUE,3,,,19,"decimal[19,0]"
ODBCConnector,7651,SRC_FIELD_NAME,12,,,700,string[max=700]
ODBCConnector,7651,AGNT_ID,12,,,6,string[max=6]
ODBCConnector,7651,SYS_ASSET_ID,12,,,100,string[max=100]
ODBCConnector,7651,EFFECT_DTE,11,,3,19,timestamp[microseconds]
ODBCConnector,7753,METRIC_ID,12,,,32,string[max=32]
