name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,1195,ERROR_CD,12,,,10,string[max=10]
OracleConnector,1195,SEVERITY,-6,,,,int8
OracleConnector,1492,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,1492,MIDDLE_NAM,12,,,35,string[max=35]
OracleConnector,1492,NPI_NUM,3,,,10,"decimal[10,0]"
OracleConnector,1492,NPI_SRC_FLG,3,,,1,"decimal[1,0]"
OracleConnector,1492,ORG_NAM,12,,,150,string[max=150]
OracleConnector,1492,SPPRT_DOC_REQ_SEND_TO_CDE,3,,,3,"decimal[3,0]"
OracleConnector,1492,LAST_NAM,12,,,35,string[max=35]
OracleConnector,1492,SUFFIX_TXT,12,,,20,string[max=20]
OracleConnector,1492,PREFIX_TXT,12,,,20,string[max=20]
OracleConnector,1492,PRSCRT_REQ_MTHD_CDE,3,,,3,"decimal[3,0]"
OracleConnector,1492,SUPPORTING_DOC_REQ_MTHD_CDE,3,,,3,"decimal[3,0]"
OracleConnector,1492,NPI_VRFY_DTE,9,,,,date
OracleConnector,1492,CMS_ACTVT_DTE,9,,,,date
OracleConnector,1492,PRSCRT_REQ_SEND_TO_CDE,3,,,3,"decimal[3,0]"
OracleConnector,1492,FIRST_NAM,12,,,35,string[max=35]
OracleConnector,1492,HCP_TYPE_CDE,3,,,3,"decimal[3,0]"
OracleConnector,1492,IS_PRESCRIBER_FLG,3,,,1,"decimal[1,0]"
OracleConnector,1492,CMS_INACT_DTE,9,,,,nullable date
OracleConnector,1492,IS_PICOS_VALID_FLG,3,,,1,"decimal[1,0]"
OracleConnector,1492,UPIN_TXT,12,,,20,string[max=20]
OracleConnector,1492,VRFY_FLG,3,,,1,"decimal[1,0]"
OracleConnector,1492,CMS_ACTIVE_FLG,3,,,1,"decimal[1,0]"
OracleConnector,1492,HCP_ID,12,,,32,string[max=32]
OracleConnector,7236,ERROR_CD,12,,,10,string[max=10]
OracleConnector,7236,SEVERITY,-6,,,,int8
OracleConnector,7566,ERROR_CD,12,,,10,string[max=10]
OracleConnector,7566,SEVERITY,-6,,,,int8
OracleConnector,7672,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,7672,PECOS_DECNPI,12,,,20,nullable string[max=20]
OracleConnector,7672,MEDDOC_REQ_MTHD_NM,12,,,75,string[max=75]
OracleConnector,7672,MIDDLE_NAM,12,,,35,string[max=35]
OracleConnector,7672,NPI_NUM,3,,,10,"decimal[10,0]"
OracleConnector,7672,ORG_NAM,12,,,150,string[max=150]
OracleConnector,7672,NAM_REJ,1,,,1,string[1]
OracleConnector,7672,MEDDOC_REQ_SEND_TO_NM,12,,,75,string[max=75]
OracleConnector,7672,LAST_NAM,12,,,35,nullable string[max=35]
OracleConnector,7672,HCP_ID_NEW,12,,,32,string[max=32]
OracleConnector,7672,ERR_TXT,12,,,10,nullable string[max=10]
OracleConnector,7672,SUFFIX_TXT,12,,,20,string[max=20]
OracleConnector,7672,PREFIX_TXT,12,,,20,string[max=20]
OracleConnector,7672,AUDIT_FLG,-6,,,,int8
OracleConnector,7672,ENUMERATION_DATE,12,,,255,nullable string[max=255]
OracleConnector,7672,NPI_REACTIVATION_DATE,12,,,255,nullable string[max=255]
OracleConnector,7672,FIRST_NAM,12,,,35,nullable string[max=35]
OracleConnector,7672,HCP_TYPE_CDE,3,,,3,"nullable decimal[3,0]"
OracleConnector,7672,NPI_DEACTIVATION_DATE,12,,,255,nullable string[max=255]
OracleConnector,7672,LOAD_ID,12,,,30,string[max=30]
OracleConnector,7763,RNK,-6,,,,int8
OracleConnector,7763,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,7763,UPIN_TXT,12,,,20,string[max=20]
OracleConnector,7763,NPI_NUM,3,,,10,"decimal[10,0]"
OracleConnector,8257,HCP_ID_EXT,12,,,32,string[max=32]
OracleConnector,8257,NPI_NUM,3,,,10,"decimal[10,0]"
OracleConnector,8333,SRC_CD,12,,,75,string[max=75]
OracleConnector,8333,TGT_CD,3,,,3,"decimal[3,0]"
OracleConnector,8333,CODE_NAME,12,,,75,string[max=75]
OracleConnector,8520,DRNPI,3,,,10,"decimal[10,0]"
OracleConnector,8520,EMAIL_TXT,12,,,255,string[max=255]
OracleConnector,27126,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,28389,ERROR_CDE,12,,,60,string[max=60]
OracleConnector,28389,ERROR_DESC,12,,,4000,string[max=4000]
OracleConnector,28389,CNT,4,,,10,int32
OracleConnector,28389,SRC_TABLE_NAM,12,,,60,string[max=60]
OracleConnector,28389,TRGT_SYSTEM_NAM,12,,,60,string[max=60]
OracleConnector,29331,ERROR_CD,12,,,10,string[max=10]
OracleConnector,29331,SEVERITY,-6,,,,int8
OracleConnector,29450,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,29450,LKP_KEY,1,,,1,string[1]
OracleConnector,29450,LOAD_ID,12,,,30,string[max=30]
OracleConnector,29666,ACCT_NUM,12,,,11,string[max=11]
OracleConnector,29666,ACCT_SUB_STAT_ID,12,,,32,string[max=32]
OracleConnector,29666,ACCT_DESC,12,,,1,string[max=1]
OracleConnector,29666,LKP_KEY,1,,,1,string[1]
OracleConnector,29666,START_STP,12,,,26,nullable string[max=26]
OracleConnector,29824,ACCT_ID,12,,,32,string[max=32]
OracleConnector,29824,SRC_SYSTEM_ID,12,,,11,string[max=11]
OracleConnector,29869,ACCT_ID,12,,,32,string[max=32]
OracleConnector,29869,ACCT_SUB_STAT_ID_EXT,12,,,32,string[max=32]
OracleConnector,29869,ACCT_SUB_STAT_TYPE_CDE,2,,,3,"decimal[3,0]"
OracleConnector,29938,SRC_CD,12,,,75,string[max=75]
OracleConnector,29938,TGT_CD,2,,,3,"decimal[3,0]"
OracleConnector,35985,ERROR_CD,12,,,10,string[max=10]
OracleConnector,35985,SEVERITY,-6,,,,int8
OracleConnector,36097,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,36097,LKP_KEY,1,,,1,string[1]
OracleConnector,36097,LOAD_ID,12,,,30,string[max=30]
OracleConnector,36303,MEDDOC_ID,12,,,32,string[max=32]
OracleConnector,36303,INTEGRATION_ID_TXT,12,,,15,nullable string[max=15]
OracleConnector,36407,SORT_ORDER_NUM,12,,,5,nullable string[max=5]
OracleConnector,36407,QSTN_FORM_NAM,12,,,150,string[max=150]
OracleConnector,36407,QSTN_ID,12,,,32,string[max=32]
OracleConnector,36407,QSTN_FORM_CDE,12,,,10,string[max=10]
OracleConnector,36490,QUESTIONNUMBER,12,,,5,nullable string[max=5]
OracleConnector,36490,LKP_KEY,1,,,1,string[1]
OracleConnector,36490,START_STP,11,,,,timestamp
OracleConnector,36490,INTEGRATION_ID_TXT,12,,,50,nullable string[max=50]
OracleConnector,36490,END_STP,11,,,,nullable timestamp
OracleConnector,36490,CPTYPE,12,,,10,nullable string[max=10]
OracleConnector,36490,ANSWER,12,,,500,nullable string[max=500]
OracleConnector,36490,PTNT_MEDDOC_ANSWR_ID,12,,,32,string[max=32]
OracleConnector,36490,RXNAME,12,,,150,nullable string[max=150]
OracleConnector,42309,ERROR_CD,12,,,10,string[max=10]
OracleConnector,42309,SEVERITY,-6,,,,int8
OracleConnector,42396,SRC_CD,12,,,75,nullable string[max=75]
OracleConnector,42396,TGT_CD,2,,,3,"decimal[3,0]"
OracleConnector,42396,CODE_NAME,12,,,75,string[max=75]
OracleConnector,42442,CNTRL_ID,2,,,10,"decimal[10,0]"
OracleConnector,42442,LKP_KEY,1,,,1,string[1]
OracleConnector,42551,DECFEDEXX_LOCN8,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN9,12,,,2,nullable string[max=2]
OracleConnector,42551,STRFEDEXX_ZIPCODE,12,,,5,nullable string[max=5]
OracleConnector,42551,DECFEDEXX_LOCN1,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN2,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN3,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN4,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN5,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN6,12,,,2,nullable string[max=2]
OracleConnector,42551,DECFEDEXX_LOCN7,12,,,2,nullable string[max=2]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE10,12,,,1,nullable string[max=1]
OracleConnector,42551,LKP_KEY,1,,,1,nullable string[1]
OracleConnector,42551,DECFEDEXX_LOCN10,12,,,2,nullable string[max=2]
OracleConnector,42551,STRONTRACRESCOM,1,,,1,nullable string[1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE9,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE8,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE5,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE4,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE7,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE6,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE1,12,,,1,nullable string[max=1]
OracleConnector,42551,TENANT_CDE,12,,,11,string[max=11]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE3,12,,,1,nullable string[max=1]
OracleConnector,42551,STRFEDEXX_CARRIER_CODE2,12,,,1,nullable string[max=1]
