name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,232,CCB8FA,12,,,3,string[max=3]
DB2Connector,232,CC9BRA,9,,,10,date
DB2Connector,232,CC9BSA,12,,,1,string[max=1]
DB2Connector,232,CC9C8A,12,,,3,string[max=3]
DB2Connector,232,CCB8GA,3,,,5,"decimal[5,0]"
DB2Connector,232,CC7B6A,12,,,1,string[max=1]
DB2Connector,232,CC9C9A,3,,,9,"decimal[9,0]"
DB2Connector,232,CC7B4A,12,,,1,string[max=1]
DB2Connector,232,CC9BQA,9,,,10,date
DB2Connector,232,NS1FA,12,,,3,string[max=3]
OracleConnector,395,CCB8FA,12,,,3,nullable string[max=3]
OracleConnector,395,CC9BRA,11,,,19,nullable timestamp
OracleConnector,395,CC9BSA,12,,,1,nullable string[max=1]
OracleConnector,395,CC9C8A,12,,,3,nullable string[max=3]
OracleConnector,395,CCB8GA,3,,,5,"nullable decimal[5,0]"
OracleConnector,395,CC7B6A,12,,,1,nullable string[max=1]
OracleConnector,395,CC9C9A,3,,,9,"nullable decimal[9,0]"
OracleConnector,395,CC7B4A,12,,,1,nullable string[max=1]
OracleConnector,395,CC9BQA,11,,,19,nullable timestamp
OracleConnector,395,NS1FA,12,,,3,nullable string[max=3]
DB2Connector,4182,CCB8FA,12,,,3,string[max=3]
DB2Connector,4182,CC9BRA,9,,,10,date
DB2Connector,4182,CC9BSA,12,,,1,string[max=1]
DB2Connector,4182,CC9C8A,12,,,3,string[max=3]
DB2Connector,4182,CCB8GA,3,,,6,"decimal[6,0]"
DB2Connector,4182,CC7B6A,12,,,1,string[max=1]
DB2Connector,4182,CC9C9A,3,,,11,"decimal[11,0]"
DB2Connector,4182,CC7B4A,12,,,1,string[max=1]
DB2Connector,4182,CC9BQA,9,,,10,date
DB2Connector,4182,NS1FA,12,,,3,string[max=3]
DB2Connector,5592,CCB8FA,12,,,3,string[max=3]
DB2Connector,5592,CC9BRA,9,,,10,date
DB2Connector,5592,CC9BSA,12,,,1,string[max=1]
DB2Connector,5592,CC9C8A,12,,,3,string[max=3]
DB2Connector,5592,CCB8GA,3,,,5,"decimal[5,0]"
DB2Connector,5592,CC7B6A,12,,,1,string[max=1]
DB2Connector,5592,CC9C9A,3,,,9,"decimal[9,0]"
DB2Connector,5592,CC7B4A,12,,,1,string[max=1]
DB2Connector,5592,CC9BQA,9,,,10,date
DB2Connector,5592,NS1FA,12,,,3,string[max=3]
OracleConnector,5759,CCB8FA,12,,,3,nullable string[max=3]
OracleConnector,5759,CC9BRA,11,,,19,nullable timestamp
OracleConnector,5759,CC9BSA,12,,,1,nullable string[max=1]
OracleConnector,5759,CC9C8A,12,,,3,nullable string[max=3]
OracleConnector,5759,CCB8GA,3,,,5,"nullable decimal[5,0]"
OracleConnector,5759,CC7B6A,12,,,1,nullable string[max=1]
OracleConnector,5759,CC9C9A,3,,,9,"nullable decimal[9,0]"
OracleConnector,5759,CC7B4A,12,,,1,nullable string[max=1]
OracleConnector,5759,CC9BQA,11,,,19,nullable timestamp
OracleConnector,5759,NS1FA,12,,,3,nullable string[max=3]
ODBCConnector,9526,Division,1,numeric,,3,string[3]
ODBCConnector,9526,BillingType,12,varchar,,1,string[max=1]
ODBCConnector,9526,EndDate,11,datetime,3,23,nullable timestamp
ODBCConnector,9526,EffectiveDate,9,datetime,3,23,date
ODBCConnector,9526,CustomerNo,3,varchar,,9,"decimal[9,0]"
ODBCConnector,9526,LastRunDate,11,datetime,3,23,nullable timestamp
ODBCConnector,9526,OverrideCharge,3,decimal,2,7,"nullable decimal[7,2]"
ODBCConnector,9526,BillingEffectiveDate,9,date,,,nullable date
