name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,208,PHONE_NUM,3,,,10,"decimal[10,0]"
DB2Connector,208,REGION_ID,12,,,15,string[max=15]
DB2Connector,208,ZIP,3,,,9,"decimal[9,0]"
DB2Connector,208,DESC_ABBR_TXT,12,,,3,string[max=3]
DB2Connector,208,LOCATION_DESC,12,,,30,string[max=30]
DB2Connector,208,DDD_LOCATION_NUM,3,,,4,"decimal[4,0]"
DB2Connector,208,ACT_STAT_ID,12,,,1,string[max=1]
DB2Connector,208,HIN_ID,12,,,9,string[max=9]
DB2Connector,208,STATE,12,,,2,string[max=2]
DB2Connector,208,WDC_NUM,3,,,4,"decimal[4,0]"
DB2Connector,208,GROUP_ID,12,,,10,string[max=10]
DB2Connector,208,CITY,12,,,20,string[max=20]
DB2Connector,208,DEA_LIC_ID,12,,,9,string[max=9]
DB2Connector,208,LOCATION_NUM,3,,,3,"decimal[3,0]"
DB2Connector,208,ADDR2_TXT,12,,,30,string[max=30]
DB2Connector,208,LOCATION_NAM,12,,,30,string[max=30]
DB2Connector,208,ADDR_TXT,12,,,30,string[max=30]
DB2Connector,2276,PTNDMB,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNDMA,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTTTYP,12,,,5,string[max=5]
DB2Connector,2276,PTPTPC,12,,,5,string[max=5]
DB2Connector,2276,PTCUTD,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTDIMA,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTDIMB,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNDDA,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNDDB,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTUPP,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTCHP3,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTDESC,12,,,30,string[max=30]
DB2Connector,2276,PTCHP1,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTCHP6,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTCHP5,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTCHP4,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTWKPD,12,,,1,string[max=1]
DB2Connector,2276,PTAICD,12,,,1,string[max=1]
DB2Connector,2276,PTDIDB,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTDIDA,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTPTEP,12,,,10,string[max=10]
DB2Connector,2276,PTDSCP,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTCHD6,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHD5,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHD4,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHD3,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHD2,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHD1,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNDDY,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTCHDC,12,,,1,string[max=1]
DB2Connector,2276,PTDIDY,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNDPD,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTDCPC,3,,2,5,"decimal[5,2]"
DB2Connector,2276,PTTRMB,12,,,1,string[max=1]
DB2Connector,2276,PTDPDD,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTADC1,3,,4,9,"decimal[9,4]"
DB2Connector,2276,PTCHP2,3,,4,7,"decimal[7,4]"
DB2Connector,2276,PTDBP,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTNEP,2,,,3,"decimal[3,0]"
DB2Connector,2276,PTADC2,3,,4,9,"decimal[9,4]"
ODBCConnector,17681,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,17681,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,20001,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,20001,ETL_JOBID,12,,,8,nullable string[max=8]
ODBCConnector,28194,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,28194,ETL_JOBID,12,,,8,nullable string[max=8]
TeradataConnector,28246,SURROGATE_KEY,4,DATE,,4,nullable int32
DB2Connector,28333,SUPPLIER_NUM,3,DECIMAL,,10,"nullable decimal[10,0]"
DB2Connector,28333,VENDOR_CNTRCT_RFRNC_ID,1,CHAR,,14,nullable ustring[14]
DB2Connector,28333,GROUP_RFRNC_ID,1,CHAR,,6,nullable ustring[6]
DB2Connector,28333,CNTRCT_TYPE_DESC,12,VARCHAR,,50,nullable ustring[max=50]
DB2Connector,28333,CNTRCT_NUM,3,DECIMAL,,10,"nullable decimal[10,0]"
DB2Connector,28333,END_DTE,1,DATE,,10,nullable string[10]
DB2Connector,28333,CNTRCT_TYPE_ID,1,CHAR,,1,nullable ustring[1]
DB2Connector,28333,START_DTE,9,DATE,,10,nullable date
DB2Connector,28333,CNTRCT_TYPE_CDE,3,DECIMAL,,3,"nullable decimal[3,0]"
DB2Connector,28333,CNTRCT_GROUP_NUM,3,DECIMAL,,10,"nullable decimal[10,0]"
DB2Connector,28333,CGBK_FLG,1,CHAR,,1,nullable ustring[1]
TeradataConnector,28656,PHONE_NUM,3,DECIMAL,,10,"nullable decimal[10,0]"
TeradataConnector,28656,PARENT_SUPPLIER_NUM,3,DECIMAL,,5,"nullable decimal[5,0]"
TeradataConnector,28656,ZIP,3,DECIMAL,,9,"nullable decimal[9,0]"
TeradataConnector,28656,BUYER_NUM,4,INTEGER,,4,nullable int32
TeradataConnector,28656,GWSA_NAV_SUPPLIER_FLG,1,,,1,nullable string[1]
TeradataConnector,28656,GWSA_GROUP_NUM,4,,,10,nullable int32
TeradataConnector,28656,STATE,1,CHAR,,2,nullable ustring[2]
TeradataConnector,28656,GWSA_CNTRCT_COST_FLG,1,,,1,nullable string[1]
TeradataConnector,28656,NLC_TYPE_CDE,3,DECIMAL,,3,"nullable decimal[3,0]"
TeradataConnector,28656,GWSA_SVC_LEVEL_FLG,1,,,1,nullable string[1]
TeradataConnector,28656,GWSA_SVC_LEVEL_TYPE_DESC,12,,,50,nullable string[max=50]
TeradataConnector,28656,CITY,1,CHAR,,18,nullable ustring[18]
TeradataConnector,28656,DEA_LIC_ID,1,CHAR,,10,nullable ustring[10]
TeradataConnector,28656,GWSA_WAC_FLG,1,,,1,nullable string[1]
TeradataConnector,28656,ADDR2_TXT,1,CHAR,,50,nullable ustring[50]
TeradataConnector,28656,GWSA_GROUP_NAM,12,,,50,nullable string[max=50]
TeradataConnector,28656,DEA_NUM,1,CHAR,,9,nullable ustring[9]
TeradataConnector,28656,BUYER_NAM,1,CHAR,,50,nullable ustring[50]
TeradataConnector,28656,GWSA_RPRCR_FLG,1,,,1,nullable string[1]
TeradataConnector,28656,ABBR_TXT,1,CHAR,,3,nullable ustring[3]
TeradataConnector,28656,GLBL_SRC_FLG,1,CHAR,,1,nullable ustring[1]
TeradataConnector,28656,GWSA_SVC_LEVEL_TYPE_CDE,4,,,10,nullable int32
TeradataConnector,28656,CASH_DISC_WAC_PCT,3,,4,6,"nullable decimal[6,4]"
TeradataConnector,28656,ADDR_TXT,1,CHAR,,50,nullable ustring[50]
