name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,234,AHFS_REL,3,,,2,"nullable decimal[2,0]"
OracleConnector,234,AHFS_DESC,12,,,40,nullable string[max=40]
OracleConnector,234,GCN_SEQNO,3,,,6,"nullable decimal[6,0]"
OracleConnector,234,AHFS8,3,,,8,"nullable decimal[8,0]"
OracleConnector,1969,AHFS_REL,3,,,2,"nullable decimal[2,0]"
OracleConnector,1969,AHFS_DESC,12,,,40,nullable string[max=40]
OracleConnector,1969,GCN_SEQNO,3,,,6,"nullable decimal[6,0]"
OracleConnector,1969,AHFS8,3,,,8,"nullable decimal[8,0]"
OracleConnector,2992,DUMMY,1,,,1,nullable string[1]
DB2Connector,3157,COUNT,4,,,10,int32
OracleConnector,4709,HIC_DESC,12,VARCHAR2,,50,nullable string[max=50]
OracleConnector,4709,HIC_SEQN,3,NUMBER,,6,"nullable decimal[6,0]"
OracleConnector,4709,HIC,12,VARCHAR2,,6,nullable string[max=6]
OracleConnector,4709,HIC_ROOT,3,NUMBER,,6,"nullable decimal[6,0]"
OracleConnector,4709,HIC_POT_IN,3,NUMBER,,1,"nullable decimal[1,0]"
OracleConnector,4709,ING_STATUS,3,NUMBER,,1,"nullable decimal[1,0]"
OracleConnector,5773,NDC,12,VARCHAR2,,11,nullable string[max=11]
OracleConnector,6625,NDC,12,VARCHAR2,,11,nullable string[max=11]
OracleConnector,6625,HIC_SEQN,3,NUMBER,,6,"nullable decimal[6,0]"
OracleConnector,7516,NDC,12,VARCHAR2,,11,nullable string[max=11]
OracleConnector,7516,MEDID,3,NUMBER,,8,"nullable decimal[8,0]"
OracleConnector,8330,TM_ALTMEDD,12,VARCHAR2,,70,nullable string[max=70]
OracleConnector,8330,TM_SOURCID,3,NUMBER,,5,"nullable decimal[5,0]"
OracleConnector,8330,TM_GROUPID,3,NUMBER,,5,"nullable decimal[5,0]"
OracleConnector,8330,MEDID,3,NUMBER,,8,"nullable decimal[8,0]"
OracleConnector,8330,TM_IND,3,NUMBER,,1,"nullable decimal[1,0]"
OracleConnector,9402,DDXCN,3,NUMBER,,5,"decimal[5,0]"
OracleConnector,9402,GCN_SEQNO,3,NUMBER,,6,"decimal[6,0]"
OracleConnector,10706,DDXCN_SN,3,NUMBER,,2,"decimal[2,0]"
OracleConnector,10706,DDXCN,3,NUMBER,,5,"decimal[5,0]"
OracleConnector,10706,DDXCN_SL,1,CHAR,,1,nullable string[1]
OracleConnector,10706,FDBDX,12,VARCHAR2,,9,nullable string[max=9]
OracleConnector,10706,DDXCN_REF,12,VARCHAR2,,26,nullable string[max=26]
OracleConnector,10706,DXID,3,NUMBER,,8,"nullable decimal[8,0]"
OracleConnector,12422,FDBDX,12,VARCHAR2,,9,nullable string[max=9]
OracleConnector,12422,DXID_DISEASE_DURATION_CD,1,CHAR,,1,nullable string[1]
OracleConnector,12422,DXID_DESC100,12,VARCHAR2,,100,nullable string[max=100]
OracleConnector,12422,DXID_STATUS,1,CHAR,,1,nullable string[1]
OracleConnector,12422,DXID_DESC56,12,VARCHAR2,,56,nullable string[max=56]
OracleConnector,12422,DXID,3,NUMBER,,8,"decimal[8,0]"
OracleConnector,14166,ICD_STATUS_CD,1,CHAR,,1,nullable string[1]
OracleConnector,14166,ICD_DESC_SOURCE_CD,1,CHAR,,2,nullable string[2]
OracleConnector,14166,ICD_LAST_DT,3,NUMBER,,8,"nullable decimal[8,0]"
OracleConnector,14166,ICD_BILLABLE_IND,3,NUMBER,,1,"nullable decimal[1,0]"
OracleConnector,14166,ICD_CD,12,VARCHAR2,,10,string[max=10]
OracleConnector,14166,ICD_FIRST_DT,3,NUMBER,,8,"nullable decimal[8,0]"
OracleConnector,14166,ICD_CDE_TYPE,1,,,2,string[2]
OracleConnector,14166,ICD_DESC,12,VARCHAR2,,500,nullable string[max=500]
OracleConnector,16134,SEARCH_ICD_CD,12,VARCHAR2,,10,string[max=10]
OracleConnector,16134,FML_CLIN_CODE,1,CHAR,,2,string[2]
OracleConnector,16134,ICD_CD_TYPE,1,CHAR,,2,string[2]
OracleConnector,16134,RELATED_DXID,3,NUMBER,,8,"decimal[8,0]"
OracleConnector,16134,FML_NAV_CODE,1,CHAR,,2,nullable string[2]
OracleConnector,17774,MCR_COV,12,VARCHAR2,,1,nullable string[max=1]
OracleConnector,17774,MCR_DATEC,12,VARCHAR2,,8,string[max=8]
OracleConnector,17774,NDC,12,VARCHAR2,,11,string[max=11]
OracleConnector,17774,MCR_REF,12,VARCHAR2,,5,nullable string[max=5]
OracleConnector,17774,MCR_REGION,12,VARCHAR2,,1,string[max=1]
OracleConnector,19405,HCPC_PBP4,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBP5,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBP6,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBP7,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC,12,VARCHAR2,,5,nullable string[max=5]
OracleConnector,19405,HCPC_PBP1,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBP2,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBP3,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,NDC,12,VARCHAR2,,11,nullable string[max=11]
OracleConnector,19405,HCPC_PBP8,3,NUMBER,5,11,"nullable decimal[11,5]"
OracleConnector,19405,HCPC_PBC8,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC5,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC4,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC7,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC6,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC1,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC3,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,19405,HCPC_PBC2,12,VARCHAR2,,8,nullable string[max=8]
OracleConnector,22474,MCR_BC,12,VARCHAR2,,5,nullable string[max=5]
OracleConnector,22474,MCR_BCDESC,12,VARCHAR2,,50,nullable string[max=50]
