name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,626,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,626,ETL_JOBID,12,,,8,nullable string[max=8]
TeradataConnector,723,PROD_KEY_NUM,4,INTEGER,,4,int32
TeradataConnector,723,PROD_PRICE_TYPE_CDE,4,INTEGER,,4,int32
TeradataConnector,723,PRICE_DLR,3,DECIMAL,2,11,"decimal[11,2]"
TeradataConnector,723,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
TeradataConnector,826,PROD_KEY_NUM,4,DATE,,10,int32
TeradataConnector,826,CORP_ITEM_NUM,3,INTEGER,,7,"decimal[7,0]"
TeradataConnector,1000,START_DTE_KEY_NUM,4,,,,int32
TeradataConnector,1000,DUMMY,4,,,,int32
TeradataConnector,1000,END_DTE_KEY_NUM,4,,,,int32
TeradataConnector,1040,DUMMY,4,,,,int32
TeradataConnector,1040,END_DTE_KEY_NUM,4,,,,int32
ODBCConnector,8262,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,8262,ETL_JOBID,12,,,8,nullable string[max=8]
OracleConnector,8336,SPECIAL_PROG_FLG,3,,,1,"decimal[1,0]"
OracleConnector,8336,CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
OracleConnector,8336,EDLP_PCT,3,,4,6,"decimal[6,4]"
OracleConnector,8336,GEN_SBST_FLG,3,,,1,"decimal[1,0]"
OracleConnector,8336,DEPT_CDE,3,,,3,"decimal[3,0]"
OracleConnector,8336,MKT_PLAYER_CTGRY_NUM,4,,,4,int32
OracleConnector,8336,CTGRY_CDE,3,,,3,"decimal[3,0]"
OracleConnector,8336,SUPPLIER_ORDER_ID,12,,,10,string[max=10]
OracleConnector,8336,PROD_AGR_CDE,4,,,4,int32
OracleConnector,8336,PROD_DSCONT_DTE,9,,,10,date
OracleConnector,8336,ACCUNET_SIZE_NUM,3,,,5,"decimal[5,0]"
OracleConnector,8336,NDC_IND_CDE,3,,,3,"decimal[3,0]"
OracleConnector,8336,FIXED_SELL_PCT,3,,4,6,"decimal[6,4]"
OracleConnector,8336,NDC_UPC_FLG,3,,,1,"decimal[1,0]"
OracleConnector,8336,NLC_TYPE_CDE,3,,,3,"decimal[3,0]"
TeradataConnector,8405,RX_TYPE_CDE,3,,,3,"decimal[3,0]"
TeradataConnector,8405,RX_FLG,12,,,1,string[max=1]
TeradataConnector,8405,PROD_NAM,12,,,20,string[max=20]
TeradataConnector,8405,CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
DB2Connector,8468,SPECIAL_PROG_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8468,RX_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8468,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,8468,GEN_SBST_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8468,MKT_PLAYER_CTGRY_NUM,4,INTEGER,,4,int32
DB2Connector,8468,CTGRY_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8468,SUPPLIER_ORDER_ID,12,VARCHAR,,10,string[max=10]
DB2Connector,8468,PROD_AGR_CDE,4,INTEGER,,4,int32
DB2Connector,8468,PROD_NAM,1,CHAR,,20,string[20]
DB2Connector,8468,EDLP_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8468,NLC_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8468,DEPT_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8468,FIXED_SELL_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8468,PROD_DSCONT_DTE,9,DATE,,10,date
DB2Connector,8468,RX_FLG,1,CHAR,,1,string[1]
DB2Connector,8468,ACCUNET_SIZE_NUM,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,8468,NDC_IND_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8468,NET_ACQ_VALUE_DLR,3,DECIMAL,2,11,"decimal[11,2]"
