name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,276,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,276,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
OracleConnector,432,SHPGID,1,CHAR,,3,string[3]
OracleConnector,432,SHPNUM,3,NUMBER,,6,"decimal[6,0]"
DB2Connector,3427,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,3427,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
OracleConnector,3585,SHPGID,1,CHAR,,3,string[3]
OracleConnector,3585,SHPNUM,3,,,6,"decimal[6,0]"
ODBCConnector,6952,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,6952,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,6986,SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,6986,SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,6986,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,6986,PD_CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
OracleConnector,7050,DSLSTS,12,,,1,string[max=1]
OracleConnector,7050,DSLITM,3,,,7,"decimal[7,0]"
DB2Connector,7089,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,7089,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,7089,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,7436,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,7436,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,7436,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,7436,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
ODBCConnector,12512,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,12512,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,12546,SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12546,SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,12546,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,12546,PD_CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
OracleConnector,12612,DSLSTS,12,,,1,string[max=1]
OracleConnector,12612,DSLITM,3,,,7,"decimal[7,0]"
DB2Connector,12651,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,12651,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12651,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,12988,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12988,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12988,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,12988,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
ODBCConnector,18094,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,18094,ETL_JOBID,12,,,8,nullable string[max=8]
OracleConnector,18146,SHPGID,1,CHAR,,3,string[3]
OracleConnector,18146,CLKNUM,3,,,6,"decimal[6,0]"
