name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,1210,STAGETYPENAME,12,,,255,string[max=255]
DB2Connector,1210,STAGENAME,12,,,255,string[max=255]
DB2Connector,1210,JOBNAME,12,,,255,string[max=255]
DB2Connector,2650,STAGETYPENAME,12,,,255,string[max=255]
DB2Connector,2650,STAGENAME,12,,,255,string[max=255]
DB2Connector,2650,JOBNAME,12,,,255,string[max=255]
ODBCConnector,10800,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,10800,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,10920,OTIS_REGION_01_NUM,4,,,6,int32
DB2Connector,10920,PRIM_LOCATION_CUSTOMER_NUM,4,,,6,int32
DB2Connector,10920,PREV_YTD_SALE_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,LAST_MTD_SALE_01_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,PRIM_WHSL_FLG,1,,,1,string[1]
DB2Connector,10920,CUSTOMER_NAM,1,,,30,string[30]
DB2Connector,10920,AUTO_SBST_FLG,1,,,1,string[1]
DB2Connector,10920,LAST_YTD_SALE_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,PHARMPAK_FLG,1,,,1,string[1]
DB2Connector,10920,LEADER_START_DTE,4,,,8,int32
DB2Connector,10920,HLTHTCH_FLG,1,,,1,string[1]
DB2Connector,10920,DEA_EXP_DTE,4,,,8,int32
DB2Connector,10920,MTD_SALE_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,CURR_YTD_SALE_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,RX_PURCH_LAST_02_DLR,3,,2,11,"decimal[11,2]"
DB2Connector,10920,LAST_MTD_SALE_02_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,CCA_GROUP_09_NUM,4,,,5,int32
DB2Connector,10920,OTIS_REGION_07_NUM,4,,,6,int32
DB2Connector,10920,CCA_GROUP_03_NUM,4,,,5,int32
DB2Connector,10920,SCRIPT_FLG,1,,,1,string[1]
DB2Connector,10920,LEADER_ID,1,,,1,string[1]
DB2Connector,10920,ZIP,4,,,9,int32
DB2Connector,10920,ELITE_FLG,1,,,1,string[1]
DB2Connector,10920,MERCH_PLUS_FLG,1,,,1,string[1]
DB2Connector,10920,STATE,1,,,2,string[2]
DB2Connector,10920,OTIS_REGION_04_NUM,4,,,6,int32
DB2Connector,10920,TERMS_QTY,4,,,8,int32
DB2Connector,10920,DEA_LIC_ID,1,,,9,string[9]
DB2Connector,10920,LOCATION_NUM,4,,,3,int32
DB2Connector,10920,ADDR2_TXT,1,,,21,string[21]
DB2Connector,10920,CUSTOMER_NUM,4,,,6,int32
DB2Connector,10920,STORE_NUM,4,,,5,int32
DB2Connector,10920,CARD_CHOICE_START_DTE,4,,,8,int32
DB2Connector,10920,CCA_GROUP_02_NUM,4,,,5,int32
DB2Connector,10920,CHOICE_HOSP_VRSN_NUM,3,,1,3,"decimal[3,1]"
DB2Connector,10920,NETWORK_VRSN_NUM,3,,1,3,"decimal[3,1]"
DB2Connector,10920,HLTHTCH_AUTO_DIST_FLG,1,,,1,string[1]
DB2Connector,10920,OTIS_REGION_02_NUM,4,,,6,int32
DB2Connector,10920,NON_RX_BUY_PLAN_ID,1,,,1,string[1]
DB2Connector,10920,RX_PURCH_MTD_DLR,3,,2,11,"decimal[11,2]"
DB2Connector,10920,CNTRCT_MARKUP_PCT,3,,4,6,"decimal[6,4]"
DB2Connector,10920,ACT_FLG,1,,,1,string[1]
DB2Connector,10920,PHONE_NUM,-5,,,10,int64
DB2Connector,10920,RX_BUY_PLAN_PCT,3,,4,6,"decimal[6,4]"
DB2Connector,10920,CCA_GROUP_06_NUM,4,,,5,int32
DB2Connector,10920,PRIM_LOCATION_NUM,4,,,3,int32
DB2Connector,10920,HIN_ID,1,,,9,string[9]
DB2Connector,10920,SHRT_LOCATION_NUM,4,,,3,int32
DB2Connector,10920,GRACE_PERIOD_QTY,4,,,8,int32
DB2Connector,10920,CCA_GROUP_04_NUM,4,,,5,int32
DB2Connector,10920,LAST_MTD_SALE_03_DLR,3,,2,15,"decimal[15,2]"
DB2Connector,10920,DLVRY_COST_DLR,3,,2,8,"decimal[8,2]"
DB2Connector,10920,RX_PURCH_LAST_03_DLR,3,,2,11,"decimal[11,2]"
DB2Connector,10920,DDD_OMIT_FLG,1,,,1,string[1]
DB2Connector,10920,ACCT_CLASS_CDE,4,,,3,int32
DB2Connector,10920,ADDR_TXT,1,,,30,string[30]
DB2Connector,10920,RX_BUY_PLAN_ID,1,,,1,string[1]
DB2Connector,10920,DBA_NAM,1,,,20,string[20]
DB2Connector,10920,ADD_DTE,4,,,8,int32
DB2Connector,10920,NON_RX_BUY_PLAN_PCT,3,,4,6,"decimal[6,4]"
DB2Connector,10920,OTIS_REGION_06_NUM,4,,,6,int32
DB2Connector,10920,RETAIL_SVC_FLG,1,,,1,string[1]
DB2Connector,10920,OTIS_REGION_05_NUM,4,,,6,int32
DB2Connector,10920,OTIS_REGION_10_NUM,4,,,6,int32
DB2Connector,10920,AFLTN_NUM,4,,,5,int32
DB2Connector,10920,RX_PURCH_LAST_01_DLR,3,,2,11,"decimal[11,2]"
DB2Connector,10920,SALE_REP_NUM,4,,,5,int32
DB2Connector,10920,OTIS_REGION_03_NUM,4,,,6,int32
DB2Connector,10920,PYMT_TERMS_QTY,4,,,8,int32
DB2Connector,10920,CCA_GROUP_08_NUM,4,,,5,int32
DB2Connector,10920,CITY,1,,,20,string[20]
DB2Connector,10920,CCA_GROUP_01_NUM,4,,,5,int32
