name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,137878,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,137878,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,138243,SOURCE_PARTY_NUMBER,12,,,20,string[max=20]
DB2Connector,138243,SRC_ID,-5,,,19,int64
DB2Connector,138296,ADDR_CITY,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138296,ADDR_ZIP,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138296,ADDR_PRIMARY_ADDRESS,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138296,ADDR_CNTRY_CODE,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138296,ADDR_STATE,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138296,CAH_ENC_ID,12,VARCHAR,,20,string[max=20]
DB2Connector,138296,ADDR_SECONDARY_ADDRESS,12,VARCHAR,,100,nullable string[max=100]
DB2Connector,138642,SRC_ID,-5,,,19,int64
DB2Connector,138642,STATE_NAME,12,,,30,nullable string[max=30]
DB2Connector,138642,END_DATE,11,,6,26,nullable timestamp
DB2Connector,138642,SRC_ADDRESS_LINE_ONE,12,,,90,nullable string[max=90]
DB2Connector,138642,STREET_NAME,12,,,90,nullable string[max=90]
DB2Connector,138642,SRC_ADDRESS_ID,-5,,,19,int64
DB2Connector,138642,SRC_ADDRESS_LINE_TWO,12,,,90,nullable string[max=90]
DB2Connector,138642,COUNTRY_NAME,12,,,30,nullable string[max=30]
DB2Connector,138642,POSTAL_CODE,12,,,10,nullable string[max=10]
DB2Connector,138642,CITY_NAME,12,,,40,nullable string[max=40]
DB2Connector,138642,ADDRESS_USAGE_TP,-5,,,19,nullable int64
DB2Connector,138905,DUMMY_VALUE,4,,,20,int32
DB2Connector,138905,SRC_ADDRESS_ID,-5,,,19,int64
ODBCConnector,169277,ETL_JOB_NAME,12,,,80,nullable string[max=80]
ODBCConnector,169277,ETL_JOBID,12,,,8,nullable string[max=8]
DB2Connector,169675,SOURCE_PARTY_NUMBER,12,,,20,string[max=20]
DB2Connector,169675,SRC_ID,-5,,,19,int64
DB2Connector,169728,PARENT_ACCT_ID,12,,,20,nullable string[max=20]
DB2Connector,169728,PHONE_NUM,12,,,16,nullable string[max=16]
DB2Connector,169728,CITY,12,,,40,nullable string[max=40]
DB2Connector,169728,ACCT_CRT_DATE,11,,6,26,nullable timestamp
DB2Connector,169728,ACCT_NAM,12,,,90,nullable string[max=90]
