name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,203,CLASS_ID,4,,,2,int32
OracleConnector,203,CLASS_DESC,1,,,50,string[50]
OracleConnector,1306,GPO_VALUE_TYPE_CDE,4,,,,int32
OracleConnector,1306,CMPR_FLG,4,,,,int32
OracleConnector,1306,CCA_GROUP_NUM,4,,,8,int32
OracleConnector,1306,TPM_RANK3_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,TPM_RANK2_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,GNRL_RANK_NUM,4,,,4,int32
OracleConnector,1306,ACTIVE_FLG,4,,,1,int32
OracleConnector,1306,SELL_PRICE_ADJ_DLR,3,,2,9,"decimal[9,2]"
OracleConnector,1306,APM_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,END_DTE,9,,,19,date
OracleConnector,1306,CLASS_OF_TRADE,4,,,,int32
OracleConnector,1306,SELL_RANK_NUM,4,,,4,int32
OracleConnector,1306,TPM_EXCP_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,TPM_RANK1_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,COST_RANK_NUM,4,,,4,int32
OracleConnector,1306,MKT_GROUP_CDE,4,,,3,int32
OracleConnector,1306,MKUP_PCT,3,,5,6,"decimal[6,5]"
OracleConnector,1306,ABBR_TXT,1,,,10,string[10]
OracleConnector,1306,MKT_PROG_NAM,1,,,50,string[50]
OracleConnector,1306,TYPE_CDE,4,,,3,int32
OracleConnector,1306,MKT_PROG_CDE,4,,,8,int32
OracleConnector,1306,START_DTE,9,,,19,date
OracleConnector,1306,SEND_TO_CCA_FLG,4,,,,int32
OracleConnector,1306,MKUP_CDE,4,,,,int32
OracleConnector,1306,MKT_PROG_PRFX_TXT,1,,,13,string[13]
OracleConnector,4864,ITCROS,3,,,6,"decimal[6,0]"
OracleConnector,4864,ITGLSL,1,,,24,string[24]
OracleConnector,4864,ITPQFR,3,,,2,"decimal[2,0]"
OracleConnector,4864,ITCVNB,3,,,6,"decimal[6,0]"
OracleConnector,4864,ITSMPK,3,,,6,"decimal[6,0]"
OracleConnector,4864,ITYNDC,1,,,15,string[15]
OracleConnector,4864,ITFLSN,3,,,3,"decimal[3,0]"
OracleConnector,4864,ITNWTT,1,,,1,string[1]
OracleConnector,4864,ITMNPQ,1,,,20,string[20]
OracleConnector,4864,ITPAMQ,3,,,3,"decimal[3,0]"
OracleConnector,4864,ITREST,1,,,9,string[9]
OracleConnector,4864,ITDLD,3,,,8,"decimal[8,0]"
OracleConnector,4864,ITPWGT,3,,1,4,"decimal[4,1]"
OracleConnector,4864,ITGLCS,1,,,24,string[24]
OracleConnector,4864,ITPUOM,1,,,2,string[2]
