name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,3175,EFFECT_DTE,11,,,19,timestamp
OracleConnector,3175,ADVALL_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,PIC_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,ROW_ADD_STP,11,,,19,timestamp
OracleConnector,3175,BGNBUY_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,PRCCHG_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,NOCODE_QTY,4,,,8,int32
OracleConnector,3175,PRCDEC_VQY,4,,,8,int32
OracleConnector,3175,PRCCHG_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,PHARM_VQY,4,,,8,int32
OracleConnector,3175,BGNBUY_QTY,4,,,8,int32
OracleConnector,3175,BUYIN_VQY,4,,,8,int32
OracleConnector,3175,FREE_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,PRCCHG_VQY,4,,,8,int32
OracleConnector,3175,STDMFG_VQY,4,,,8,int32
OracleConnector,3175,STDMFG_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,INVADJ_VQY,4,,,8,int32
OracleConnector,3175,STDMFG_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,ALTSRC_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,DIV_NUM,4,,,3,int32
OracleConnector,3175,BUYIN_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,ALTSRC_QTY,4,,,8,int32
OracleConnector,3175,PRCDEC_QTY,4,,,8,int32
OracleConnector,3175,FREE_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,PROMO_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,OTHMGN_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,OTHADJ_VDR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,OTHADJ_QTY,4,,,8,int32
OracleConnector,3175,FREE_VQY,4,,,8,int32
OracleConnector,3175,AP_DLR,3,,2,16,"decimal[16,2]"
OracleConnector,3175,BUYIN_QTY,4,,,8,int32
OracleConnector,3175,AP_VQY,4,,,8,int32
OracleConnector,3175,STDMFG_QTY,4,,,8,int32
OracleConnector,3175,ALTSRC_VQY,4,,,8,int32
OracleConnector,3175,ADVALL_QTY,4,,,8,int32
OracleConnector,3175,PRCCHG_QTY,4,,,8,int32
OracleConnector,3175,CORP_ITEM_NUM,4,,,7,int32
OracleConnector,3175,FREE_QTY,4,,,8,int32
