name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,2013,PFI38,3,,2,5,"decimal[5,2]"
OracleConnector,2013,ROW_ADD_STP,11,,,19,timestamp
OracleConnector,2013,PFI09,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI01,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI29,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI34,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI47,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI22,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI08,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI26,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI23,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI15,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI14,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI17,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI16,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI11,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI10,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI35,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFDESC,1,,,30,string[30]
OracleConnector,2013,PFI51,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI50,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI39,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI52,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI19,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI18,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI49,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI27,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFDFID,3,,,19,"decimal[19,0]"
OracleConnector,2013,PFI33,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFNAME,1,,,10,string[10]
OracleConnector,2013,PFI32,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI06,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI31,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI30,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI37,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI41,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI36,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFTYPE,1,,,1,string[1]
OracleConnector,2013,ROW_ADD_USER_ID,12,,,8,string[max=8]
OracleConnector,2013,PFI04,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI05,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI13,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI03,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI07,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI42,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI43,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI40,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI12,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI20,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI21,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI44,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI45,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI24,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFHSTP,4,,,3,int32
OracleConnector,2013,PFI28,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI46,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI25,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI02,3,,2,5,"decimal[5,2]"
OracleConnector,2013,PFI48,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKVSUB,12,,,8,string[max=8]
OracleConnector,25388,SKLLEX,12,,,4,string[max=4]
OracleConnector,25388,SKVSUP,12,,,10,string[max=10]
OracleConnector,25388,SKTRKM,4,,,5,int32
OracleConnector,25388,SKOT4R,3,,4,13,"decimal[13,4]"
OracleConnector,25388,SKLT,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKIOPU,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKHPRD,4,,,3,int32
OracleConnector,25388,SKSDIV,4,,,5,int32
OracleConnector,25388,SKFTRU,3,,2,7,"decimal[7,2]"
OracleConnector,25388,SKIOPD,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKFTRN,4,,,3,int32
OracleConnector,25388,SKDSPC,3,,3,5,"decimal[5,3]"
OracleConnector,25388,SKPDVD,12,,,2,string[max=2]
OracleConnector,25388,SKSHR__036__,3,,2,13,"decimal[13,2]"
OracleConnector,25388,SKLSMD,4,,,8,int32
OracleConnector,25388,SKLSMF,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKHPDY,4,,,4,int32
OracleConnector,25388,SKLSMP,4,,,3,int32
OracleConnector,25388,SKAICU,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKSTDU,3,,4,11,"decimal[11,4]"
OracleConnector,25388,SK1PEL,4,,,7,int32
OracleConnector,25388,SKAICD,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKMANF,12,,,10,string[max=10]
OracleConnector,25388,SKLYRC,12,,,1,string[max=1]
OracleConnector,25388,SKOC08,4,,,1,int32
OracleConnector,25388,SKHAGE,4,,,5,int32
OracleConnector,25388,SKOC06,4,,,1,int32
OracleConnector,25388,SKOC07,4,,,1,int32
OracleConnector,25388,SKCLEX,12,,,4,string[max=4]
OracleConnector,25388,SKOC05,4,,,1,int32
OracleConnector,25388,SKFCST,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKOC03,4,,,1,int32
OracleConnector,25388,SKSE,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKOC01,4,,,1,int32
OracleConnector,25388,SKPOPC,12,,,3,string[max=3]
OracleConnector,25388,SKOTAF,3,,4,13,"decimal[13,4]"
OracleConnector,25388,SKUUSE,4,,,5,int32
OracleConnector,25388,SKAPC__036__,3,,2,13,"decimal[13,2]"
OracleConnector,25388,SKOC19,4,,,1,int32
OracleConnector,25388,SKSSK,3,,5,7,"decimal[7,5]"
OracleConnector,25388,SKMMIN,4,,,7,int32
OracleConnector,25388,SKBBXD,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKJOCU,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKFX08,4,,,1,int32
OracleConnector,25388,SKFX09,4,,,1,int32
OracleConnector,25388,SKFX06,4,,,1,int32
OracleConnector,25388,SKDLNO,4,,,7,int32
OracleConnector,25388,SKFX04,4,,,1,int32
OracleConnector,25388,SKFX05,4,,,1,int32
OracleConnector,25388,SKFX02,4,,,1,int32
OracleConnector,25388,SKFX03,4,,,1,int32
OracleConnector,25388,SKFX01,4,,,1,int32
OracleConnector,25388,SKJOCD,4,,,3,int32
OracleConnector,25388,SKDLNP,3,,3,5,"decimal[5,3]"
OracleConnector,25388,SKOC17,4,,,1,int32
OracleConnector,25388,SKDLNX,4,,,8,int32
OracleConnector,25388,SKAVLX,3,,2,7,"decimal[7,2]"
OracleConnector,25388,SKOBAK,4,,,7,int32
OracleConnector,25388,SKAPPC,3,,4,10,"decimal[10,4]"
OracleConnector,25388,SKLSRC,4,,,8,int32
OracleConnector,25388,SKASXD,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKDDIV,4,,,5,int32
OracleConnector,25388,SKEPTD,4,,,7,int32
OracleConnector,25388,SKFCM,12,,,3,string[max=3]
OracleConnector,25388,SKFZSQ,4,,,1,int32
OracleConnector,25388,SKBKMU,4,,,2,int32
OracleConnector,25388,SKPDOQ,4,,,7,int32
OracleConnector,25388,SKBKMM,3,,4,10,"decimal[10,4]"
OracleConnector,25388,SKEXCS,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKBKMD,4,,,5,int32
OracleConnector,25388,SKSPUS,3,,2,13,"decimal[13,2]"
OracleConnector,25388,SKLDEX,12,,,4,string[max=4]
OracleConnector,25388,SKSPUN,4,,,2,int32
OracleConnector,25388,SKSPUO,3,,2,13,"decimal[13,2]"
OracleConnector,25388,SKOT1F,3,,4,13,"decimal[13,4]"
OracleConnector,25388,SKMNCY,12,,,5,string[max=5]
OracleConnector,25388,SKSBAV,12,,,1,string[max=1]
OracleConnector,25388,SKOHD__036__,3,,2,13,"decimal[13,2]"
OracleConnector,25388,SKBAVL,12,,,1,string[max=1]
OracleConnector,25388,SKJUPU,3,,2,9,"decimal[9,2]"
OracleConnector,25388,SKJUPD,3,,2,7,"decimal[7,2]"
OracleConnector,25388,SKEOCY,3,,2,5,"decimal[5,2]"
OracleConnector,25388,SKSBAK,4,,,7,int32
OracleConnector,25388,SKDCNT,4,,,1,int32
OracleConnector,25388,SKSLMC,12,,,1,string[max=1]
OracleConnector,25388,SKSLMG,12,,,10,string[max=10]
OracleConnector,25388,SKSLMX,12,,,1,string[max=1]
