name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
ODBCConnector,1375,ROW_ADD_USER_ID,12,,,8,string[max=8]
ODBCConnector,1375,ROW_UPDATE_STP,11,,,19,timestamp
ODBCConnector,1375,EFFECT_DTE,11,,3,19,timestamp
ODBCConnector,1375,ROW_ADD_STP,11,,,19,timestamp
ODBCConnector,1375,VALUE,3,,4,21,"decimal[21,4]"
ODBCConnector,1375,AGNT_ID,12,,,32,string[max=32]
ODBCConnector,1375,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
ODBCConnector,1375,SYS_ASSET_ID,12,,,810,string[max=810]
ODBCConnector,1375,METRIC_ID,12,,,32,string[max=32]
ODBCConnector,11720,ROW_ADD_USER_ID,1,,,8,string[8]
ODBCConnector,11720,ROW_UPDATE_USER_ID,1,,,8,string[8]
ODBCConnector,11720,METRIC_ID,12,,,50,string[max=50]
ODBCConnector,11720,METRIC_VALUE,12,,,50,string[max=50]
ODBCConnector,11720,DIMENSION_ID,12,,,50,string[max=50]
ODBCConnector,11720,ROW_ADD_STP,11,,3,23,timestamp
ODBCConnector,11720,METRIC_TYPE,12,,,50,string[max=50]
ODBCConnector,11720,RECORD_TYPE,12,,,50,string[max=50]
ODBCConnector,11720,Agent_ID,12,,,15,string[max=15]
ODBCConnector,11720,BATCH_NAME,12,,,200,string[max=200]
ODBCConnector,11720,ROW_UPDATE_STP,11,,3,23,timestamp
ODBCConnector,11720,APP_NAME,12,,,50,string[max=50]
ODBCConnector,11720,EFFECT_DTE,11,,3,23,timestamp
ODBCConnector,19933,ROW_ADD_USER_ID,1,,,8,string[8]
ODBCConnector,19933,ROW_UPDATE_USER_ID,1,,,8,string[8]
ODBCConnector,19933,METRIC_ID,12,,,50,string[max=50]
ODBCConnector,19933,METRIC_VALUE,12,,,50,string[max=50]
ODBCConnector,19933,DIMENSION_ID,12,,,50,string[max=50]
ODBCConnector,19933,ROW_ADD_STP,11,,3,23,timestamp
ODBCConnector,19933,METRIC_TYPE,12,,,50,string[max=50]
ODBCConnector,19933,RECORD_TYPE,12,,,50,string[max=50]
ODBCConnector,19933,Agent_ID,12,,,15,string[max=15]
ODBCConnector,19933,BATCH_NAME,12,,,50,string[max=50]
ODBCConnector,19933,ROW_UPDATE_STP,11,,3,23,timestamp
ODBCConnector,19933,APP_NAME,12,,,50,string[max=50]
ODBCConnector,19933,EFFECT_DTE,11,,3,23,timestamp
ODBCConnector,24049,ROW_ADD_USER_ID,1,,,8,string[8]
ODBCConnector,24049,ROW_UPDATE_USER_ID,1,,,8,string[8]
ODBCConnector,24049,METRIC_ID,12,,,50,string[max=50]
ODBCConnector,24049,METRIC_VALUE,12,,,50,string[max=50]
ODBCConnector,24049,DIMENSION_ID,12,,,50,string[max=50]
ODBCConnector,24049,ROW_ADD_STP,11,,3,23,timestamp
ODBCConnector,24049,METRIC_TYPE,12,,,50,string[max=50]
ODBCConnector,24049,RECORD_TYPE,12,,,50,string[max=50]
ODBCConnector,24049,Agent_ID,12,,,15,string[max=15]
ODBCConnector,24049,BATCH_NAME,12,,,50,string[max=50]
ODBCConnector,24049,ROW_UPDATE_STP,11,,3,23,timestamp
ODBCConnector,24049,APP_NAME,12,,,50,string[max=50]
ODBCConnector,24049,EFFECT_DTE,11,,3,23,timestamp
ODBCConnector,28657,ROW_ADD_USER_ID,12,,,8,string[max=8]
ODBCConnector,28657,ROW_UPDATE_STP,11,,,19,timestamp
ODBCConnector,28657,EFFECT_DTE,11,,3,19,timestamp[microseconds]
ODBCConnector,28657,ROW_ADD_STP,11,,,19,timestamp
ODBCConnector,28657,VALUE,3,,4,21,"decimal[21,4]"
ODBCConnector,28657,AGNT_ID,12,,,32,string[max=32]
ODBCConnector,28657,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
ODBCConnector,28657,SYS_ASSET_ID,12,,,810,string[max=810]
ODBCConnector,28657,METRIC_ID,12,,,32,string[max=32]
ODBCConnector,31928,ROW_ADD_USER_ID,12,,,8,string[max=8]
ODBCConnector,31928,ROW_UPDATE_STP,11,,,19,timestamp
ODBCConnector,31928,EFFECT_DTE,11,,3,19,timestamp[microseconds]
