name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,349,CCB8FA,12,,,3,nullable string[max=3]
DB2Connector,349,NSCSA,12,,,10,nullable string[max=10]
DB2Connector,349,CC9C8A,12,,,3,nullable string[max=3]
DB2Connector,349,CCB8GA,3,,,5,"nullable decimal[5,0]"
DB2Connector,349,CC7B6A,12,,,1,string[max=1]
DB2Connector,349,CC9C9A,3,,,9,"nullable decimal[9,0]"
DB2Connector,349,CC7B4A,12,,,1,nullable string[max=1]
DB2Connector,349,CC9BQA,9,,,10,nullable date
DB2Connector,349,NS1FA,12,,,3,nullable string[max=3]
DB2Connector,349,CC9BRA,9,,,10,nullable date
DB2Connector,349,CC9BSA,12,,,1,nullable string[max=1]
DB2Connector,349,NS13JA,12,,,10,nullable string[max=10]
DB2Connector,349,NS13KA,12,,,8,nullable string[max=8]
DB2Connector,349,NSD6A,12,,,10,nullable string[max=10]
DB2Connector,349,NS13HA,9,,,10,nullable date
DB2Connector,349,NS13IA,12,,,8,nullable string[max=8]
DB2Connector,5709,CCB8FA,12,,,3,nullable string[max=3]
DB2Connector,5709,NSCSA,12,,,10,nullable string[max=10]
DB2Connector,5709,CC9C8A,12,,,3,nullable string[max=3]
DB2Connector,5709,CCB8GA,3,,,5,"nullable decimal[5,0]"
DB2Connector,5709,CC7B6A,12,,,1,string[max=1]
DB2Connector,5709,CC9C9A,3,,,9,"nullable decimal[9,0]"
DB2Connector,5709,CC7B4A,12,,,1,nullable string[max=1]
DB2Connector,5709,CC9BQA,9,,,10,nullable date
DB2Connector,5709,NS1FA,12,,,3,nullable string[max=3]
DB2Connector,5709,CC9BRA,9,,,10,nullable date
DB2Connector,5709,CC9BSA,12,,,1,nullable string[max=1]
DB2Connector,5709,NS13JA,12,,,10,nullable string[max=10]
DB2Connector,5709,NS13KA,12,,,8,nullable string[max=8]
DB2Connector,5709,NSD6A,12,,,10,nullable string[max=10]
DB2Connector,5709,NS13HA,9,,,10,nullable date
DB2Connector,5709,NS13IA,12,,,8,nullable string[max=8]
OracleConnector,26124,TCNTRY,1,CHAR,,10,nullable string[10]
OracleConnector,26124,TADR2TXT,1,CHAR,,30,nullable string[30]
OracleConnector,26124,CUSNAM2,1,CHAR,,30,nullable string[30]
OracleConnector,26124,ADRTXT,1,CHAR,,30,nullable string[30]
OracleConnector,26124,TCITY,1,CHAR,,20,nullable string[20]
OracleConnector,26124,STORE__035__,3,NUMBER,,6,"nullable decimal[6,0]"
OracleConnector,26124,TADRTXT,1,CHAR,,30,nullable string[30]
OracleConnector,26124,ROW_ADD_STP,11,DATE,,,nullable timestamp
OracleConnector,26124,TFAXNUM,3,NUMBER,,10,"nullable decimal[10,0]"
OracleConnector,26124,ACCTSTATID,1,CHAR,,2,nullable string[2]
OracleConnector,26124,TZIP,1,CHAR,,9,nullable string[9]
OracleConnector,26124,DEAEXPDTE,11,DATE,,,nullable timestamp
