name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DRSConnector,293,PHONE_NUM,-5,,,10,int64
DRSConnector,293,REGION_ID,1,,,15,string[15]
DRSConnector,293,ZIP,4,,,9,int32
DRSConnector,293,DESC_ABBR_TXT,1,,,3,string[3]
DRSConnector,293,LOCATION_DESC,1,,,30,string[30]
DRSConnector,293,DDD_LOCATION_NUM,4,,,4,int32
DRSConnector,293,ACT_STAT_ID,1,,,1,string[1]
DRSConnector,293,HIN_ID,1,,,9,string[9]
DRSConnector,293,STATE,1,,,2,string[2]
DRSConnector,293,WDC_NUM,4,,,4,int32
DRSConnector,293,GROUP_ID,1,,,10,string[10]
DRSConnector,293,CITY,1,,,20,string[20]
DRSConnector,293,DEA_LIC_ID,1,,,9,string[9]
DRSConnector,293,LOCATION_NUM,4,,,3,int32
DRSConnector,293,ADDR2_TXT,1,,,30,string[30]
DRSConnector,293,LOCATION_NAM,1,,,30,string[30]
DRSConnector,293,ADDR_TXT,1,,,30,string[30]
DRSConnector,2391,PTNDMB,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNDMA,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTTTYP,12,,,5,string[max=5]
DRSConnector,2391,PTPTPC,12,,,5,string[max=5]
DRSConnector,2391,PTCUTD,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTDIMA,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTDIMB,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNDDA,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNDDB,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTUPP,2,,4,7,"decimal[7,4]"
DRSConnector,2391,PTCHP3,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTDESC,12,,,30,string[max=30]
DRSConnector,2391,PTCHP1,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTCHP6,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTCHP5,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTCHP4,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTWKPD,12,,,1,string[max=1]
DRSConnector,2391,PTAICD,12,,,1,string[max=1]
DRSConnector,2391,PTDIDB,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTDIDA,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTPTEP,12,,,10,string[max=10]
DRSConnector,2391,PTDSCP,2,,4,7,"decimal[7,4]"
DRSConnector,2391,PTCHD6,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHD5,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHD4,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHD3,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHD2,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHD1,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNDDY,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTCHDC,12,,,1,string[max=1]
DRSConnector,2391,PTDIDY,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNDPD,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTDCPC,3,,2,5,"decimal[5,2]"
DRSConnector,2391,PTTRMB,12,,,1,string[max=1]
DRSConnector,2391,PTDPDD,3,,,3,"decimal[3,0]"
DRSConnector,2391,PTADC1,3,,4,9,"decimal[9,4]"
DRSConnector,2391,PTCHP2,3,,4,7,"decimal[7,4]"
DRSConnector,2391,PTDBP,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTNEP,2,,,3,"decimal[3,0]"
DRSConnector,2391,PTADC2,3,,4,9,"decimal[9,4]"
TeradataConnector,17715,MKT_PROG_CDE,3,,,8,"decimal[8,0]"
TeradataConnector,17715,ROW_ADD_USER_ID,12,,,8,string[max=8]
TeradataConnector,17715,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
TeradataConnector,17715,ROW_ADD_STP,11,,6,29,timestamp
TeradataConnector,17715,ROW_UPDATE_STP,11,,6,29,timestamp
TeradataConnector,17715,PROG_CDE,4,,,3,int32
TeradataConnector,20036,ROW_ADD_USER_ID,12,,,8,string[max=8]
TeradataConnector,20036,POST_DTE_QTY,3,,,10,"decimal[10,0]"
TeradataConnector,20036,ROW_UPDATE_STP,11,,,19,timestamp
TeradataConnector,20036,ROW_ADD_STP,11,,,19,timestamp
TeradataConnector,20036,PROG_CDE,3,,,3,"decimal[3,0]"
TeradataConnector,20036,END_DTE,9,,,10,date
TeradataConnector,20036,RPT_RLS_DTE,9,,,10,date
TeradataConnector,20036,SUPPLIER_NUM,3,,,5,"decimal[5,0]"
TeradataConnector,20036,PRIOR_DTE_QTY,3,,,10,"decimal[10,0]"
TeradataConnector,20036,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
TeradataConnector,20036,PROG_FEE_DLR,3,,2,9,"decimal[9,2]"
