name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,4672,HIERARCHICAL_ING_CDE_DESC,1,,,50,string[50]
DB2Connector,4672,INGREDIENT_STATUS_CODE,3,,,1,"decimal[1,0]"
DB2Connector,4672,HIC_SEQN_POTENTIALLY_IN,3,,,1,"decimal[1,0]"
DB2Connector,4672,HIC_ROOT,3,,,6,"decimal[6,0]"
DB2Connector,4672,HIC_SEQUENCE_NUMBER,3,,,6,"decimal[6,0]"
DB2Connector,4672,HIERARCHICAL_INGREDIENT_CODE,1,,,6,string[6]
DB2Connector,5814,NATIONAL_DRUG_CODE,3,,,11,"decimal[11,0]"
DB2Connector,6669,HIC_SEQUENCE_NUMBER,3,,,6,"decimal[6,0]"
DB2Connector,6669,NATIONAL_DRUG_CDE,3,,,11,"decimal[11,0]"
DB2Connector,7483,NATIONAL_DRUG_CDE,3,,,11,"decimal[11,0]"
DB2Connector,7483,MEDICATION_ID,3,,,8,"decimal[8,0]"
DB2Connector,8384,TALL_MAN_GROUP_ID,3,,,5,"decimal[5,0]"
DB2Connector,8384,TALL_MAN_ALT_MEDICATION_DESC,1,,,70,string[70]
DB2Connector,8384,TALL_MAN_INDICATOR,3,,,1,"decimal[1,0]"
DB2Connector,8384,TALL_MAN_SOURCE_ID,3,,,5,"decimal[5,0]"
DB2Connector,8384,MEDICATION_ID,3,,,8,"decimal[8,0]"
DB2Connector,9442,DDXCN,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,9442,GCN_SEQNO,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,10755,DDXCN_SN,3,DECIMAL,,2,"decimal[2,0]"
DB2Connector,10755,DDXCN,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,10755,DDXCN_SL,1,,,1,string[1]
DB2Connector,10755,FDBDX,1,,,9,string[9]
DB2Connector,10755,DDXCN_REF,1,,,26,string[26]
DB2Connector,10755,DXID,3,,,8,"decimal[8,0]"
DB2Connector,12471,FDBDX,1,,,9,string[9]
DB2Connector,12471,DXID_DISEASE_DURATION_CD,1,,,1,string[1]
DB2Connector,12471,DXID_DESC100,1,,,100,string[100]
DB2Connector,12471,DXID_STATUS,1,,,1,string[1]
DB2Connector,12471,DXID_DESC56,1,,,56,string[56]
DB2Connector,12471,DXID,3,DECIMAL,,8,"decimal[8,0]"
DB2Connector,14219,ICD_CD_TYPE,1,,,2,string[2]
DB2Connector,14219,ICD_STATUS_CD,1,,,1,string[1]
DB2Connector,14219,ICD_DESC_SOURCE_CD,1,,,2,string[2]
DB2Connector,14219,ICD_LAST_DT,3,,,8,"decimal[8,0]"
DB2Connector,14219,ICD_BILLABLE_IND,3,,,1,"decimal[1,0]"
DB2Connector,14219,ICD_CD,1,CHAR,,10,string[10]
