name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
TeradataConnector,1103,ROW_UPDATE_STP,11,,,19,timestamp
TeradataConnector,1103,PROD_KEY_NUM,4,INTEGER,,4,int32
TeradataConnector,1103,CURR_SNPSHT_FLG,1,,,1,string[1]
TeradataConnector,1103,END_DTE_KEY_NUM,4,,,,int32
TeradataConnector,1103,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
TeradataConnector,1103,PROD_PRICE_TYPE_CDE,4,,,,int32
TeradataConnector,1206,ROW_ADD_USER_ID,12,,,8,string[max=8]
TeradataConnector,1206,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
TeradataConnector,1206,PROD_KEY_NUM,4,DATE,,10,int32
TeradataConnector,1206,CURR_SNPSHT_FLG,1,,,1,string[1]
TeradataConnector,1206,END_DTE_KEY_NUM,4,,,,int32
TeradataConnector,1206,PRICE_CHG_PCT,3,,4,10,"decimal[10,4]"
TeradataConnector,1206,START_DTE_KEY_NUM,4,,,,int32
TeradataConnector,1206,PRICE_DLR,3,,2,11,"decimal[11,2]"
TeradataConnector,1206,ROW_ADD_STP,11,,,19,timestamp
TeradataConnector,1206,ROW_UPDATE_STP,11,,,19,timestamp
TeradataConnector,1206,PROD_PRICE_TYPE_CDE,4,,,,int32
DB2Connector,8703,SPECIAL_PROG_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8703,RX_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8703,ACCUNET_SIZE_NUM,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,8703,GEN_SBST_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8703,NDC_IND_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8703,MKT_PLAYER_CTGRY_NUM,4,INTEGER,,4,int32
DB2Connector,8703,CTGRY_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8703,SUPPLIER_ORDER_ID,12,VARCHAR,,10,string[max=10]
DB2Connector,8703,PROD_DSCONT_DTE,9,DATE,,10,date
DB2Connector,8703,NLC_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8703,ROW_UPDATE_USER_ID,1,CHAR,,8,string[8]
DB2Connector,8703,EDLP_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8703,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,8703,DEPT_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8703,FIXED_SELL_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8703,PROD_NAM,1,CHAR,,20,string[20]
DB2Connector,8703,RX_FLG,1,CHAR,,1,string[1]
DB2Connector,8703,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,8703,PROD_AGR_CDE,4,INTEGER,,4,int32
DB2Connector,8703,NET_ACQ_VALUE_DLR,3,DECIMAL,2,11,"decimal[11,2]"
DB2Connector,8703,CRDKY_MFG_SUPPLY_DSRPT_QTY,4,,,,int32
DB2Connector,8703,NDC_UPC_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8831,SPECIAL_PROG_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8831,RX_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8831,ACCUNET_SIZE_NUM,3,DECIMAL,,5,"decimal[5,0]"
DB2Connector,8831,GEN_SBST_FLG,3,DECIMAL,,1,"decimal[1,0]"
DB2Connector,8831,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,8831,MKT_PLAYER_CTGRY_NUM,4,INTEGER,,4,int32
DB2Connector,8831,CTGRY_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8831,SUPPLIER_ORDER_ID,12,VARCHAR,,10,string[max=10]
DB2Connector,8831,PROD_DSCONT_DTE,9,DATE,,10,date
DB2Connector,8831,NLC_TYPE_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8831,ROW_UPDATE_USER_ID,1,CHAR,,8,string[8]
DB2Connector,8831,EDLP_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8831,ROW_ADD_USER_ID,1,CHAR,,8,string[8]
DB2Connector,8831,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,8831,NDC_IND_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8831,DEPT_CDE,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,8831,FIXED_SELL_PCT,3,DECIMAL,4,6,"decimal[6,4]"
DB2Connector,8831,PROD_NAM,1,CHAR,,20,string[20]
DB2Connector,8831,RX_FLG,1,CHAR,,1,string[1]
DB2Connector,8831,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,8831,PROD_AGR_CDE,4,INTEGER,,4,int32
