name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
DB2Connector,216,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,216,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,352,OBJECT_VERB,12,,,40,string[max=40]
DB2Connector,352,EVENT_TIME,11,,6,26,timestamp
DB2Connector,352,EVENT_COMMENT,12,,,100,string[max=100]
DB2Connector,352,CONNECTOR_ID,12,VARCHAR,,200,string[max=200]
DB2Connector,352,OBJECT_NAME,12,,,40,string[max=40]
DB2Connector,352,OBJECT_KEY,12,,,80,string[max=80]
DB2Connector,352,EVENT_STATUS,4,,,10,int32
DB2Connector,352,EVENT_PRIORITY,4,,,10,int32
DB2Connector,3367,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,3367,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,3503,OBJECT_VERB,12,,,40,string[max=40]
DB2Connector,3503,EVENT_TIME,11,,6,26,timestamp
DB2Connector,3503,EVENT_COMMENT,12,,,100,string[max=100]
DB2Connector,3503,CONNECTOR_ID,12,VARCHAR,,200,string[max=200]
DB2Connector,3503,OBJECT_NAME,12,,,40,string[max=40]
DB2Connector,3503,OBJECT_KEY,12,,,80,string[max=80]
DB2Connector,3503,EVENT_STATUS,4,,,10,int32
DB2Connector,3503,EVENT_PRIORITY,4,,,10,int32
DB2Connector,7225,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,7225,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,7225,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,7225,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,7225,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,7225,ROW_ADD_STP,11,TIMESTAMP,,19,timestamp
DB2Connector,7225,ROW_UPDATE_STP,11,TIMESTAMP,,19,timestamp
DB2Connector,7304,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,7304,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,7304,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,7304,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,7304,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,7304,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,7304,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,12786,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,12786,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,12786,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,12786,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12786,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,12786,ROW_ADD_STP,11,TIMESTAMP,,19,timestamp
DB2Connector,12786,ROW_UPDATE_STP,11,TIMESTAMP,,19,timestamp
DB2Connector,12864,SHIP_TO_CUSTOMER_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,12864,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,12864,ROW_UPDATE_STP,11,TIMESTAMP,,19,timestamp
DB2Connector,12864,SHIP_TO_LOCATION_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,12864,CORP_ITEM_NUM,3,DECIMAL,,7,"decimal[7,0]"
DB2Connector,18314,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,18314,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,18314,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,18314,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,18314,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,18314,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,18392,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,18392,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,18392,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,18392,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,18392,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,18392,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,18392,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,18392,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,24277,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,24277,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,24277,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,24277,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,24277,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,24277,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,24355,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,24355,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,24355,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,24355,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,24355,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,24355,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,24355,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,24355,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,30233,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,30233,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,30233,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,30233,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,30233,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,30233,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,30311,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,30311,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,30311,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp
DB2Connector,30311,SPD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,30311,SPD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,30311,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,30311,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,30311,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,30598,PD_SHIP_TO_LOC_NUM,3,DECIMAL,,3,"decimal[3,0]"
DB2Connector,30598,PD_SHIP_TO_CUST_NUM,3,DECIMAL,,6,"decimal[6,0]"
DB2Connector,37462,JRJCODE,1,,,15,string[15]
DB2Connector,38798,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,38798,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,38798,SHRT_DESC_TXT,12,VARCHAR,,50,string[max=50]
DB2Connector,38798,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,38798,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,38798,HCPCS_ID,12,VARCHAR,,15,string[max=15]
DB2Connector,38798,HCPCS_RMBMT_DLR,3,DECIMAL,3,10,"decimal[10,3]"
DB2Connector,38878,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,38878,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,38878,HCPCS_ID,12,VARCHAR,,15,string[max=15]
DB2Connector,38878,HCPCS_RMBMT_DLR,3,DECIMAL,3,10,"decimal[10,3]"
DB2Connector,38878,SHRT_DESC_TXT,12,VARCHAR,,50,string[max=50]
DB2Connector,43740,ROW_ADD_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,43740,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,43740,SHRT_DESC_TXT,12,VARCHAR,,50,string[max=50]
DB2Connector,43740,ROW_ADD_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,43740,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,43740,HCPCS_ID,12,VARCHAR,,15,string[max=15]
DB2Connector,43740,HCPCS_RMBMT_DLR,3,DECIMAL,3,10,"decimal[10,3]"
DB2Connector,43820,ROW_UPDATE_USER_ID,12,VARCHAR,,8,string[max=8]
DB2Connector,43820,ROW_UPDATE_STP,11,TIMESTAMP,6,26,timestamp[microseconds]
DB2Connector,43820,HCPCS_ID,12,VARCHAR,,15,string[max=15]
DB2Connector,43820,HCPCS_RMBMT_DLR,3,DECIMAL,3,10,"decimal[10,3]"
DB2Connector,43820,SHRT_DESC_TXT,12,VARCHAR,,50,string[max=50]
DB2Connector,47788,HCPCS_DOSAGE_TXT,12,,,15,string[max=15]
DB2Connector,47788,HCPCS_BILL_UNIT_QTY,3,,3,10,"decimal[10,3]"
DB2Connector,47788,HCPCS_BILL_UNIT_PACK_QTY,3,,3,10,"decimal[10,3]"
DB2Connector,47788,HCPCS_ID,12,,,15,string[max=15]
DB2Connector,47788,CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
DB2Connector,51153,ROW_ADD_USER_ID,12,,,8,string[max=8]
DB2Connector,51153,ROW_UPDATE_STP,11,,,19,timestamp
DB2Connector,51153,HCPCS_DOSAGE_TXT,12,,,15,string[max=15]
DB2Connector,51153,ROW_ADD_STP,11,,,19,timestamp
DB2Connector,51153,HCPCS_BILL_UNIT_PACK_QTY,3,,3,10,"decimal[10,3]"
DB2Connector,51153,CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
DB2Connector,51153,HCPCS_BILL_UNIT_QTY,3,,3,10,"decimal[10,3]"
DB2Connector,51153,ROW_UPDATE_USER_ID,12,,,8,string[max=8]
DB2Connector,51153,HCPCS_ID,12,,,15,string[max=15]
DB2Connector,51237,HCPCS_DOSAGE_TXT,12,,,15,string[max=15]
DB2Connector,51237,HCPCS_BILL_UNIT_PACK_QTY,3,,3,10,"decimal[10,3]"
DB2Connector,51237,ROW_UPDATE_STP,11,,6,26,timestamp
DB2Connector,51237,CORP_ITEM_NUM,3,,,7,"decimal[7,0]"
