name,sourceline,column,DSSQLType,DSNativeType,DSScale,DSSQLPrecision,DSSchema
OracleConnector,11162,OTIS_REGION_01_NUM,4,,,,nullable int32
OracleConnector,11162,PRIM_LOCATION_CUSTOMER_NUM,4,,,,nullable int32
OracleConnector,11162,PREV_YTD_SALE_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,ROW_ADD_STP,11,,,19,timestamp
OracleConnector,11162,LAST_MTD_SALE_01_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,PRIM_WHSL_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,CUSTOMER_NAM,12,,,30,nullable string[max=30]
OracleConnector,11162,ACT_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,LAST_YTD_SALE_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,PHARMPAK_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,LEADER_START_DTE,4,,,,nullable int32
OracleConnector,11162,HLTHTCH_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,ACCT_CLASS_CDE,4,,,,nullable int32
OracleConnector,11162,MTD_SALE_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,CURR_YTD_SALE_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,RX_PURCH_LAST_02_DLR,3,,2,11,"nullable decimal[11,2]"
OracleConnector,11162,LAST_MTD_SALE_02_DLR,3,,2,15,"nullable decimal[15,2]"
OracleConnector,11162,CCA_GROUP_09_NUM,4,,,,nullable int32
OracleConnector,11162,OTIS_REGION_07_NUM,4,,,,nullable int32
OracleConnector,11162,CCA_GROUP_03_NUM,4,,,,nullable int32
OracleConnector,11162,DBA_NAM,12,,,20,nullable string[max=20]
OracleConnector,11162,OTIS_REGION_03_NUM,4,,,,nullable int32
OracleConnector,11162,LEADER_ID,12,,,1,nullable string[max=1]
OracleConnector,11162,ZIP,4,,,,nullable int32
OracleConnector,11162,CITY,12,,,20,nullable string[max=20]
OracleConnector,11162,ELITE_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,MERCH_PLUS_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,STATE,12,,,2,nullable string[max=2]
OracleConnector,11162,LOCATION_NUM,4,,,,int32
OracleConnector,11162,OTIS_REGION_04_NUM,4,,,,nullable int32
OracleConnector,11162,TERMS_QTY,4,,,,nullable int32
OracleConnector,11162,DEA_LIC_ID,12,,,9,nullable string[max=9]
OracleConnector,11162,ROW_UPDATE_STP,11,,,19,timestamp
OracleConnector,11162,ADDR2_TXT,12,,,21,nullable string[max=21]
OracleConnector,11162,CUSTOMER_NUM,4,,,,int32
OracleConnector,11162,STORE_NUM,4,,,,nullable int32
OracleConnector,11162,CARD_CHOICE_START_DTE,4,,,,nullable int32
OracleConnector,11162,SHRT_LOCATION_NUM,4,,,,nullable int32
OracleConnector,11162,NETWORK_VRSN_NUM,3,,1,3,"nullable decimal[3,1]"
OracleConnector,11162,COD_FLG,12,,,1,nullable string[max=1]
OracleConnector,11162,CCA_GROUP_05_NUM,4,,,,nullable int32
