Movement,orig no,connector,DS SQL data type,Underlying data type,"src/tgt data type (ora.db2,sqlSrvr..)",,Len,P,S,Extended,ds notes,src/tgt notes,notes
oracle to ds ,1,oracle,Unknown,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,Char,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,LongVarChar,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,VarChar,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,Nchar,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,NVarChar,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,,oracle,LongNVarChar,string[n] or ustring[n],CHAR,,,,,,,(n),
oracle to ds ,2,oracle,,Fixed length string with length = n,,,,,,,,,
oracle to ds ,3,oracle,Unknown,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,Char,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,LongVarChar,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,VarChar,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,Nchar,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,NVarChar,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,,oracle,LongNVarChar,string[max = n] or ustring[max = n],VARCHAR,,,,,,,(n),
oracle to ds ,4,oracle,,variable length string with length = n,,,,,,,,,
oracle to ds ,5,oracle,Timestamp,Timestamp,DATE,,,,,,,,
oracle to ds ,6,oracle,Decimal Numeric,"decimal (38,10)",NUMBER,,,,,,,,
oracle to ds ,7,oracle,Integer,int32 if precision (p) <11 and scale (s) = 0,NUMBER,,,,,,,"NUMBER(p, s)",
oracle to ds ,,oracle,Decimal,int32 if precision (p) <11 and scale (s) = 1,NUMBER,,,,,,,"NUMBER(p, s)",
oracle to ds ,,oracle,Numeric,int32 if precision (p) <11 and scale (s) = 2,NUMBER,,,,,,,"NUMBER(p, s)",
oracle to ds ,8,oracle,,"decimal[p, s] if precision (p) =>11 and scale (s) > 0",,,,,,,,,
oracle to ds ,9,oracle,not supported,not supported,LONG,,,,,,,,"not supported,unsupported,notsupported"
oracle to ds ,10,oracle,not supported,not supported,CLOB,,,,,,,,
oracle to ds ,11,oracle,not supported,not supported,NCLOB,,,,,,,,
oracle to ds ,12,oracle,not supported,not supported,BLOB,,,,,,,,
oracle to ds ,13,oracle,not supported,not supported,INTERVAL YEAR TO MONTH,,,,,,,,other options possible
oracle to ds ,14,oracle,not supported,not supported,INTERVAL MONTH TO DAY,,,,,,,,other options possible
oracle to ds ,15,oracle,not supported,not supported,BFILE,,,,,,,,
ds to oracle,16,oracle,,,,,,,,,,,
ds to oracle,17,oracle,Date,date,DATE,,,,,,,,
ds to oracle,18,oracle,Time,time,DATE,,,,,,,,DATE (does not support microsecond resolution)
ds to oracle,19,oracle,Timestamp,timestamp,DATE,,,,,,,,DATE (does not support microsecond resolution)
ds to oracle,20,oracle,Timestamp with Extended=Microseconds,timestamp[microseconds],TIMESTAMP (6),,,,,,,,
ds to oracle,21,oracle,Decimal Numeric,"decimal (p, s)","NUMBER (p, s)",,,,,,,,
